date,us_score,tw_score,divergence
2018-03-12,58.09312180231258,52.38531756898514,5.707804233327444
2018-03-13,52.373737211614525,50.54761588012529,1.826121331489233
2018-03-14,49.32277669360277,47.825750310903935,1.4970263826988344
2018-03-15,47.66197280533879,52.869577797829876,5.207604992491085
2018-03-16,47.682669132011696,61.48769454692335,13.805025414911654
2018-03-19,39.85138189555565,53.94269055767317,14.09130866211752
2018-03-20,42.449257383284326,54.915379744456416,12.46612236117209
2018-03-21,41.90931382256899,55.5715171887796,13.662203366210612
2018-03-22,30.644713225421253,57.777295880842644,27.13258265542139
2018-03-23,21.175638037426147,50.27855143472368,29.102913397297534
2018-03-26,28.135455642960096,48.531708347865916,20.39625270490582
2018-03-27,25.542905594901775,51.0140616890948,25.471156094193027
2018-03-28,27.16921806466862,46.27467740841605,19.105459343747434
2018-03-29,34.08959191861254,48.12220058176607,14.032608663153532
2018-04-02,25.858646285388943,45.98427970790835,20.125633422519407
2018-04-03,29.75068282545733,47.78093845919746,18.03025563374013
2018-04-04,33.13193058428019,47.78093845919746,14.6
2018-04-05,37.31129484508316,47.78093845919746,10.5
2018-04-06,28.03957892512492,47.78093845919746,19.7
2018-04-09,26.44341958853504,52.80846400752936,26.36504441899432
2018-04-10,32.890743614786466,56.747923833453875,23.85718021866741
2018-04-11,31.701175091955314,53.36296187463449,21.66178678267918
2018-04-12,37.33440825110299,53.38665007197405,16.05224182087106
2018-04-13,36.745713347039626,54.354213890576304,17.608500543536678
2018-04-16,39.875965468679034,54.24846170445024,14.372496235771209
2018-04-17,46.24605911214406,53.513449021425416,7.267389909281356
2018-04-18,45.931088187038355,51.4497063493229,5.518618162284547
2018-04-19,44.28459290475659,55.775740607005744,11.491147702249151
2018-04-20,45.18803801910721,50.247838596873315,5.059800577766104
2018-04-23,49.137463920242496,49.25538059501166,0.11791667476916246
2018-04-24,39.514000747819445,48.299284780566836,8.785284032747391
2018-04-25,43.332277258489974,49.2091942994296,5.876917040939624
2018-04-26,48.57496853019528,49.270448088578334,0.695479558383056
2018-04-27,47.30067597933719,45.73613580784489,1.564540171492304
2018-04-30,47.44828476660733,47.38755079358468,0.060733973022649934
2018-05-01,47.06600353375469,47.38755079358468,0.3
2018-05-02,43.36601376930314,48.23067363435405,4.8646598650509105
2018-05-03,41.2909587709947,44.568341002417256,3.277382231422557
2018-05-04,48.120045111016815,45.25570973830084,2.8643353727159777
2018-05-07,48.982695741114505,45.981807922062586,3.0008878190519184
2018-05-08,47.33586511729301,50.41674675120403,3.0808816339110194
2018-05-09,52.683862382289135,53.182771359210406,0.4989089769212711
2018-05-10,53.4012408634952,54.32889596677994,0.9276551032847422
2018-05-11,56.305032835238464,58.192487934517565,1.8874550992791015
2018-05-14,55.26409149847575,57.97535627069893,2.7112647722231813
2018-05-15,50.74818927247014,58.90150658857006,8.153317316099916
2018-05-16,52.92443302143697,62.3251170107374,9.400683989300433
2018-05-17,53.30564973161861,57.784209148703596,4.478559417084988
2018-05-18,53.28472601266931,57.90477055974172,4.6200445470724105
2018-05-21,55.886139832741264,59.71941518964771,3.833275356906448
2018-05-22,55.69780701579167,60.26601484990031,4.568207834108641
2018-05-23,56.54537253348938,58.79245876155733,2.2470862280679498
2018-05-24,53.27837159750518,56.7552826878012,3.4769110902960207
2018-05-25,52.493485766673096,56.629547687309035,4.136061920635939
2018-05-29,47.531197532211856,55.94478570851987,8.413588176308018
2018-05-30,53.51909408335008,59.956600860559696,6.437506777209613
2018-05-31,52.34450711136064,65.51186442547797,13.167357314117325
2018-06-01,58.05127139913778,59.6541370038107,1.602865604672921
2018-06-04,58.67674809347195,62.66561447534899,3.9888663818770382
2018-06-05,58.36098674631855,62.79742732083914,4.436440574520589
2018-06-06,61.54669258107938,65.23730004629708,3.6906074652177026
2018-06-07,59.75081249466128,68.69603845642271,8.94522596176143
2018-06-08,59.8830801224676,62.67899136613046,2.7959112436628644
2018-06-11,59.588017339523546,61.67694801528047,2.0889306757569273
2018-06-12,60.15795427335354,63.683051328698596,3.525097055345057
2018-06-13,59.08724086634011,65.34410923562007,6.256868369279957
2018-06-14,59.71158777967346,60.57772075742845,0.8661329777549938
2018-06-15,60.59172725201567,64.6905461387745,4.098818886758821
2018-06-18,60.29363821799897,64.6905461387745,4.4
2018-06-19,57.86864423145168,57.70017194986731,0.16847228158437133
2018-06-20,59.506946432737706,58.03033812839921,1.476608304338498
2018-06-21,56.05599595622907,54.18288576115441,1.8731101950746591
2018-06-22,57.36075454080738,54.66340618884749,2.6973483519598886
2018-06-25,51.541952797391446,49.24100527506827,2.3009475223231775
2018-06-26,54.80273980256152,50.50559658969845,4.2971432128630696
2018-06-27,49.668857295789905,47.44156420958001,2.2272930862098974
2018-06-28,53.55098353158619,47.63687392210021,5.914109609485983
2018-06-29,52.76786940360438,49.92315970122924,2.844709702375141
2018-07-02,53.7966023263589,50.155088273898464,3.641514052460437
2018-07-03,51.44099201462232,51.8071897139542,0.3661976993318845
2018-07-05,53.62383427022196,47.096726349267385,6.5271079209545775
2018-07-06,57.61172911998889,51.86660069652876,5.74512842346013
2018-07-09,59.949992155683525,51.95059657034172,7.9993955853418015
2018-07-10,60.87343517700701,53.66557561171472,7.2078595652922886
2018-07-11,58.31268030090907,50.29187805712627,8.020802243782803
2018-07-12,61.830814896190006,51.19534057537327,10.635474320816733
2018-07-13,62.211736039975996,54.09348243064206,8.118253609333934
2018-07-16,61.62672869785108,52.354312069428794,9.272416628422285
2018-07-17,64.26094476426726,55.08022024674072,9.180724517526542
2018-07-18,65.14827229450805,59.2241080925415,5.924164201966548
2018-07-19,63.43115316564192,56.11968750246707,7.31146566317485
2018-07-20,63.30171507347747,59.14433171531996,4.15738335815751
2018-07-23,64.11794126806909,60.22127724270216,3.896664025366931
2018-07-24,66.74476584392502,61.661093529932884,5.083672313992139
2018-07-25,68.47370167121171,59.18185885860994,9.291842812601772
2018-07-26,68.06180741826017,63.74458373125619,4.317223687003981
2018-07-27,64.91383648377055,64.28511098595116,0.6287254978193886
2018-07-30,62.72870955753304,62.816500548625434,0.08779099109239752
2018-07-31,64.44197922539551,66.63476980878768,2.192790583392167
2018-08-01,64.42173756154308,64.64506295412636,0.223325392583277
2018-08-02,65.72624200085212,61.65769032447729,4.068551676374838
2018-08-03,65.72923629339641,60.79964670682657,4.92958958656984
